target model it0_rmsd it1_rmsd delta_rmsd protocol
aa2ar 1 1.53682 1.74181 -0.20499 shape
aa2ar 2 1.53645 1.59611 -0.05966 shape
aa2ar 3 1.52228 1.61697 -0.09469 shape
aa2ar 4 1.52201 1.66602 -0.14401 shape
aa2ar 5 1.52229 1.97475 -0.45246 shape
aa2ar 6 1.52213 1.75521 -0.23308 shape
aa2ar 7 9.71995 9.82654 -0.10659 shape
aa2ar 8 1.28943 1.45571 -0.16628 shape
aa2ar 9 1.3026 2.00119 -0.69859 shape
aa2ar 10 1.30542 1.33067 -0.02525 shape
aa2ar 11 1.10057 0.908159 0.192411 shape
aa2ar 12 9.69159 9.67543 0.01616 shape
aa2ar 13 9.69171 9.68657 0.00514 shape
aa2ar 14 1.44118 1.31177 0.12941 shape
aa2ar 15 1.37873 1.80019 -0.42146 shape
aa2ar 16 1.44936 1.1378 0.31156 shape
aa2ar 17 9.5354 9.28706 0.24834 shape
aa2ar 18 9.53544 9.36347 0.17197 shape
aa2ar 19 1.24624 1.37281 -0.12657 shape
aa2ar 20 1.42624 1.2016 0.22464 shape
aa2ar 21 1.37728 1.95847 -0.58119 shape
aa2ar 22 1.36736 1.48191 -0.11455 shape
aa2ar 23 1.27843 1.32871 -0.05028 shape
aa2ar 24 1.33508 1.64436 -0.30928 shape
aa2ar 25 1.47699 1.56859 -0.0916 shape
aa2ar 26 1.47712 1.99002 -0.5129 shape
aa2ar 27 1.47712 2.11482 -0.6377 shape
aa2ar 28 1.47195 1.76687 -0.29492 shape
aa2ar 29 1.47173 1.79621 -0.32448 shape
aa2ar 30 1.4719 1.46592 0.00598 shape
aa2ar 31 1.47203 2.23882 -0.76679 shape
aa2ar 32 1.47185 1.17896 0.29289 shape
aa2ar 33 1.47194 1.34446 0.12748 shape
aa2ar 34 9.53066 9.27457 0.25609 shape
aa2ar 35 9.53082 9.36692 0.1639 shape
aa2ar 36 9.53067 9.27973 0.25094 shape
aa2ar 37 0.865249 1.58104 -0.715791 shape
aa2ar 38 1.21095 1.35894 -0.14799 shape
aa2ar 39 9.39471 9.29885 0.09586 shape
aa2ar 40 9.3948 9.40386 -0.00906 shape
aa2ar 41 9.39478 9.41852 -0.02374 shape
aa2ar 42 9.39481 9.2745 0.12031 shape
aa2ar 43 9.39484 9.25871 0.13613 shape
aa2ar 44 0.955424 1.06704 -0.111616 shape
aa2ar 45 9.39495 9.32638 0.06857 shape
aa2ar 46 1.16699 1.67082 -0.50383 shape
aa2ar 47 9.66652 9.69883 -0.03231 shape
aa2ar 48 1.14281 1.06 0.08281 shape
aa2ar 49 1.15068 0.991127 0.159553 shape
aa2ar 50 1.1511 1.41868 -0.26758 shape
aa2ar 51 1.15835 0.898774 0.259576 shape
aa2ar 52 1.87297 1.61086 0.26211 shape
aa2ar 53 1.87274 2.07213 -0.19939 shape
aa2ar 54 1.87279 2.32433 -0.45154 shape
aa2ar 55 1.87248 2.51762 -0.64514 shape
aa2ar 56 9.54096 9.29208 0.24888 shape
aa2ar 57 9.43361 9.2572 0.17641 shape
aa2ar 58 9.43354 9.31764 0.1159 shape
aa2ar 59 9.43354 9.30974 0.1238 shape
aa2ar 60 1.26866 2.00031 -0.73165 shape
aa2ar 61 1.26886 1.67852 -0.40966 shape
aa2ar 62 1.2688 1.68427 -0.41547 shape
aa2ar 63 1.26903 1.9137 -0.64467 shape
aa2ar 64 1.26861 1.32783 -0.05922 shape
aa2ar 65 1.26859 1.2924 -0.02381 shape
aa2ar 66 9.41949 9.2989 0.12059 shape
aa2ar 67 9.4196 9.32844 0.09116 shape
aa2ar 68 9.41957 9.30143 0.11814 shape
aa2ar 69 9.41957 9.3174 0.10217 shape
aa2ar 70 9.41955 9.34572 0.07383 shape
aa2ar 71 1.06101 2.04993 -0.98892 shape
aa2ar 72 9.53474 9.32675 0.20799 shape
aa2ar 73 1.81311 1.45997 0.35314 shape
aa2ar 74 1.81362 1.67689 0.13673 shape
aa2ar 75 1.8138 1.83043 -0.01663 shape
aa2ar 76 1.81422 1.87757 -0.06335 shape
aa2ar 77 9.70247 9.58889 0.11358 shape
aa2ar 78 9.7025 9.70248 2e-05 shape
