target model rmsd protocol
aa2ar 1 1.24525 shape
aa2ar 2 1.21 shape
aa2ar 3 1.31826 shape
aa2ar 4 1.24124 shape
aa2ar 5 1.25716 shape
aa2ar 6 1.18077 shape
aa2ar 7 1.28474 shape
aa2ar 8 1.12545 shape
aa2ar 9 0.942277 shape
aa2ar 10 1.03463 shape
aa2ar 11 0.863951 shape
aa2ar 12 1.00422 shape
aa2ar 13 1.02469 shape
aa2ar 14 0.81407 shape
aa2ar 15 0.931595 shape
aa2ar 16 0.846559 shape
aa2ar 17 0.926916 shape
aa2ar 18 0.972929 shape
aa2ar 19 1.06285 shape
aa2ar 20 0.899593 shape
aa2ar 21 1.19272 shape
aa2ar 22 1.08886 shape
aa2ar 23 0.888402 shape
aa2ar 24 1.34987 shape
aa2ar 25 1.01228 shape
aa2ar 26 1.03365 shape
aa2ar 27 1.07695 shape
aa2ar 28 1.24785 shape
aa2ar 29 1.23064 shape
aa2ar 30 1.17332 shape
aa2ar 31 1.0319 shape
aa2ar 32 1.12352 shape
aa2ar 33 1.0808 shape
aa2ar 34 0.91123 shape
aa2ar 35 1.00681 shape
aa2ar 36 0.934799 shape
aa2ar 37 0.466156 shape
aa2ar 38 0.691376 shape
aa2ar 39 0.574311 shape
aa2ar 40 0.509507 shape
aa2ar 41 0.777817 shape
aa2ar 42 0.576625 shape
aa2ar 43 0.539304 shape
aa2ar 44 0.587616 shape
aa2ar 45 0.771175 shape
aa2ar 46 0.763785 shape
aa2ar 47 0.990687 shape
aa2ar 48 0.411063 shape
aa2ar 49 0.530937 shape
aa2ar 50 0.995008 shape
aa2ar 51 0.481926 shape
aa2ar 52 1.41623 shape
aa2ar 53 1.34897 shape
aa2ar 54 1.40954 shape
aa2ar 55 1.3573 shape
aa2ar 56 0.8973 shape
aa2ar 57 1.01332 shape
aa2ar 58 1.0286 shape
aa2ar 59 0.857905 shape
aa2ar 60 0.972214 shape
aa2ar 61 0.798686 shape
aa2ar 62 0.72073 shape
aa2ar 63 0.878739 shape
aa2ar 64 0.896486 shape
aa2ar 65 0.804665 shape
aa2ar 66 1.00956 shape
aa2ar 67 0.94901 shape
aa2ar 68 1.00956 shape
aa2ar 69 1.00469 shape
aa2ar 70 1.03623 shape
aa2ar 71 0.942019 shape
aa2ar 72 1.02288 shape
aa2ar 73 1.23067 shape
aa2ar 74 1.3516 shape
aa2ar 75 1.23124 shape
aa2ar 76 1.20322 shape
aa2ar 77 1.23233 shape
aa2ar 78 1.27141 shape
aa2ar 79 1.27042 shape
aa2ar 80 0.859044 shape
aa2ar 81 1.39025 shape
aa2ar 82 1.44419 shape
aa2ar 83 1.2821 shape
aa2ar 84 1.33847 shape
aa2ar 85 0.892546 shape
aa2ar 86 1.00129 shape
aa2ar 87 1.2691 shape
aa2ar 88 1.32763 shape
aa2ar 89 1.47679 shape
aa2ar 90 1.37125 shape
aa2ar 91 1.92843 shape
aa2ar 92 1.91285 shape
aa2ar 93 0.988757 shape
aa2ar 94 0.94266 shape
aa2ar 95 0.987256 shape
aa2ar 96 1.01884 shape
aa2ar 97 0.949818 shape
aa2ar 98 0.924102 shape
aa2ar 99 0.779146 shape
aa2ar 100 1.24353 shape
aa2ar 101 1.46113 shape
aa2ar 102 1.45637 shape
aa2ar 103 1.42038 shape
aa2ar 104 1.46489 shape
aa2ar 105 1.4288 shape
aa2ar 106 0.902748 shape
aa2ar 107 0.541142 shape
aa2ar 108 0.705826 shape
aa2ar 109 1.44036 shape
aa2ar 110 1.42845 shape
aa2ar 111 1.42064 shape
aa2ar 112 1.39117 shape
aa2ar 113 2.1831 shape
aa2ar 114 2.14689 shape
aa2ar 115 1.82456 shape
aa2ar 116 1.84877 shape
aa2ar 117 1.88816 shape
aa2ar 118 1.18141 shape
aa2ar 119 1.3553 shape
aa2ar 120 1.68129 shape
aa2ar 121 1.7477 shape
aa2ar 122 1.82097 shape
aa2ar 123 1.8909 shape
aa2ar 124 1.84271 shape
aa2ar 125 2.15562 shape
aa2ar 126 1.9155 shape
aa2ar 127 1.85846 shape
aa2ar 128 0.892072 shape
aa2ar 129 1.01902 shape
aa2ar 130 0.913472 shape
aa2ar 131 0.997807 shape
aa2ar 132 0.87949 shape
aa2ar 133 0.908284 shape
aa2ar 134 0.795594 shape
aa2ar 135 0.850107 shape
aa2ar 136 1.47233 shape
aa2ar 137 1.47543 shape
aa2ar 138 1.93051 shape
aa2ar 139 1.93624 shape
aa2ar 140 1.90677 shape
aa2ar 141 1.9079 shape
aa2ar 142 1.35753 shape
aa2ar 143 1.93892 shape
aa2ar 144 1.34391 shape
aa2ar 145 1.26345 shape
aa2ar 146 1.26965 shape
aa2ar 147 1.78192 shape
aa2ar 148 1.79251 shape
aa2ar 149 1.28537 shape
aa2ar 150 1.77604 shape
aa2ar 151 1.89085 shape
aa2ar 152 1.95 shape
aa2ar 153 1.23556 shape
aa2ar 154 1.2545 shape
aa2ar 155 1.00678 shape
aa2ar 156 1.97897 shape
aa2ar 157 0.576901 shape
aa2ar 158 1.29702 shape
aa2ar 159 1.89363 shape
aa2ar 160 2.07804 shape
aa2ar 161 0.960472 shape
aa2ar 162 0.91834 shape
aa2ar 163 1.28145 shape
aa2ar 164 1.97017 shape
aa2ar 165 1.93492 shape
aa2ar 166 1.15749 shape
aa2ar 167 1.21517 shape
aa2ar 168 1.26524 shape
aa2ar 169 1.92404 shape
aa2ar 170 0.991745 shape
aa2ar 171 1.83323 shape
aa2ar 172 1.89706 shape
aa2ar 173 1.88798 shape
aa2ar 174 1.91108 shape
aa2ar 175 1.90966 shape
aa2ar 176 1.47818 shape
aa2ar 177 1.35913 shape
aa2ar 178 1.44675 shape
aa2ar 179 1.89509 shape
aa2ar 180 1.89629 shape
aa2ar 181 0.923612 shape
aa2ar 182 1.90097 shape
aa2ar 183 1.89748 shape
aa2ar 184 0.977932 shape
aa2ar 185 1.67877 shape
aa2ar 186 1.8378 shape
aa2ar 187 1.9384 shape
aa2ar 188 1.98969 shape
aa2ar 189 1.81951 shape
aa2ar 190 1.24141 shape
aa2ar 191 1.83439 shape
aa2ar 192 1.98293 shape
aa2ar 193 1.95246 shape
aa2ar 194 1.71484 shape
aa2ar 195 1.73982 shape
aa2ar 196 1.70669 shape
aa2ar 197 1.67294 shape
aa2ar 198 1.74848 shape
aa2ar 199 1.73825 shape
aa2ar 200 1.76758 shape
abl1 1 0.309703 shape
abl1 2 0.513963 shape
abl1 3 0.443465 shape
abl1 4 0.467869 shape
abl1 5 0.508361 shape
abl1 6 0.313026 shape
abl1 7 0.372847 shape
abl1 8 0.425916 shape
abl1 9 0.455671 shape
abl1 10 0.334327 shape
abl1 11 0.473649 shape
abl1 12 0.449562 shape
abl1 13 0.504832 shape
abl1 14 0.45899 shape
abl1 15 0.432961 shape
abl1 16 1.36239 shape
abl1 17 1.32734 shape
abl1 18 1.36132 shape
abl1 19 1.32074 shape
abl1 20 1.33999 shape
abl1 21 1.30832 shape
abl1 22 1.34074 shape
abl1 23 1.63516 shape
abl1 24 1.65378 shape
abl1 25 1.6304 shape
abl1 26 1.59163 shape
abl1 27 1.61901 shape
abl1 28 1.6073 shape
abl1 29 1.67437 shape
abl1 30 1.58088 shape
abl1 31 1.64889 shape
abl1 32 1.56862 shape
abl1 33 1.3406 shape
abl1 34 1.32808 shape
abl1 35 1.39131 shape
abl1 36 1.36638 shape
abl1 37 1.38753 shape
abl1 38 1.65012 shape
abl1 39 1.61311 shape
abl1 40 1.64748 shape
abl1 41 1.63334 shape
abl1 42 1.63985 shape
abl1 43 1.63814 shape
abl1 44 1.63339 shape
abl1 45 1.6391 shape
abl1 46 1.62639 shape
abl1 47 1.61214 shape
abl1 48 1.63813 shape
abl1 49 1.60937 shape
abl1 50 1.65081 shape
abl1 51 0.746148 shape
abl1 52 0.759061 shape
abl1 53 0.737486 shape
abl1 54 0.710299 shape
abl1 55 0.660395 shape
abl1 56 0.668967 shape
abl1 57 1.73358 shape
abl1 58 1.75953 shape
abl1 59 1.75997 shape
abl1 60 1.75501 shape
abl1 61 1.75565 shape
abl1 62 1.74111 shape
abl1 63 1.79739 shape
abl1 64 0.720783 shape
abl1 65 1.741 shape
abl1 66 1.66342 shape
abl1 67 1.74402 shape
abl1 68 1.74366 shape
abl1 69 0.597494 shape
abl1 70 1.76501 shape
abl1 71 1.75363 shape
abl1 72 1.75731 shape
abl1 73 1.75394 shape
abl1 74 1.74116 shape
abl1 75 1.73301 shape
abl1 76 1.77787 shape
abl1 77 1.74755 shape
abl1 78 1.65554 shape
abl1 79 0.734885 shape
abl1 80 0.655604 shape
abl1 81 1.39693 shape
abl1 82 1.4007 shape
abl1 83 1.41492 shape
abl1 84 1.48124 shape
abl1 85 1.51339 shape
abl1 86 1.74463 shape
abl1 87 1.78403 shape
abl1 88 1.79658 shape
abl1 89 1.79279 shape
abl1 90 1.8211 shape
abl1 91 1.78943 shape
abl1 92 1.77051 shape
abl1 93 1.81005 shape
abl1 94 1.41354 shape
abl1 95 1.41485 shape
abl1 96 1.40248 shape
abl1 97 1.40293 shape
abl1 98 1.76932 shape
abl1 99 1.80035 shape
abl1 100 1.74814 shape
abl1 101 1.79924 shape
abl1 102 1.8003 shape
abl1 103 1.75197 shape
abl1 104 1.85965 shape
abl1 105 1.79329 shape
abl1 106 1.8245 shape
abl1 107 1.77419 shape
abl1 108 1.76908 shape
abl1 109 1.76319 shape
abl1 110 1.79803 shape
abl1 111 1.42157 shape
abl1 112 1.76173 shape
abl1 113 1.41346 shape
abl1 114 1.37984 shape
abl1 115 1.3791 shape
abl1 116 1.74522 shape
abl1 117 0.606967 shape
abl1 118 0.522487 shape
abl1 119 0.601222 shape
abl1 120 0.614097 shape
abl1 121 0.560288 shape
abl1 122 1.7321 shape
abl1 123 1.79319 shape
abl1 124 1.73326 shape
abl1 125 1.7509 shape
abl1 126 1.67895 shape
abl1 127 1.44256 shape
abl1 128 0.621667 shape
abl1 129 0.677589 shape
abl1 130 0.620894 shape
abl1 131 0.660297 shape
abl1 132 1.7246 shape
abl1 133 1.68582 shape
abl1 134 1.72523 shape
abl1 135 1.8557 shape
abl1 136 1.82586 shape
abl1 137 1.85185 shape
abl1 138 1.84273 shape
abl1 139 1.85202 shape
abl1 140 1.85449 shape
abl1 141 1.82092 shape
abl1 142 1.73777 shape
abl1 143 1.70906 shape
abl1 144 1.75188 shape
abl1 145 1.71928 shape
abl1 146 1.37837 shape
abl1 147 1.38556 shape
abl1 148 0.689064 shape
abl1 149 1.87691 shape
abl1 150 1.90888 shape
abl1 151 1.69528 shape
abl1 152 1.40566 shape
abl1 153 1.78255 shape
abl1 154 1.72807 shape
abl1 155 1.71241 shape
abl1 156 1.65576 shape
abl1 157 1.85413 shape
abl1 158 1.81283 shape
abl1 159 1.66429 shape
abl1 160 1.58382 shape
abl1 161 1.3988 shape
abl1 162 1.77739 shape
abl1 163 1.42118 shape
abl1 164 1.42091 shape
abl1 165 1.59418 shape
abl1 166 1.78639 shape
abl1 167 1.71346 shape
abl1 168 0.458321 shape
abl1 169 1.41734 shape
abl1 170 0.47576 shape
abl1 171 0.49522 shape
abl1 172 0.599761 shape
abl1 173 1.78963 shape
abl1 174 1.6523 shape
abl1 175 1.65405 shape
abl1 176 1.92782 shape
abl1 177 1.7671 shape
abl1 178 1.33095 shape
abl1 179 1.7069 shape
abl1 180 1.34198 shape
abl1 181 1.74736 shape
abl1 182 1.36371 shape
abl1 183 1.71052 shape
abl1 184 1.72003 shape
abl1 185 1.35128 shape
abl1 186 1.72261 shape
abl1 187 1.90475 shape
abl1 188 1.73684 shape
abl1 189 1.8627 shape
abl1 190 1.34984 shape
abl1 191 0.593329 shape
abl1 192 1.78997 shape
abl1 193 1.29485 shape
abl1 194 0.686532 shape
abl1 195 1.37631 shape
abl1 196 1.76914 shape
abl1 197 1.35365 shape
abl1 198 1.6792 shape
abl1 199 1.74953 shape
abl1 200 1.36738 shape
ace 1 1.11183 shape
ace 2 2.62942 shape
ace 3 2.01023 shape
ace 4 2.28017 shape
ace 5 1.99082 shape
ace 6 1.97312 shape
ace 7 2.75144 shape
ace 8 2.49694 shape
ace 9 1.73059 shape
ace 10 2.90033 shape
ace 11 2.89712 shape
ace 12 1.3175 shape
ace 13 1.35816 shape
ace 14 1.93026 shape
ace 15 2.51909 shape
ace 16 2.88407 shape
ace 17 2.85461 shape
ace 18 2.96507 shape
ace 19 2.13872 shape
ace 20 1.94699 shape
ace 21 2.20901 shape
ace 22 2.58827 shape
ace 23 1.34826 shape
ace 24 2.75653 shape
ace 25 2.28658 shape
ace 26 2.57402 shape
ace 27 2.46331 shape
ace 28 2.89265 shape
ace 29 2.55162 shape
ace 30 2.63767 shape
ace 31 2.04449 shape
ace 32 2.84591 shape
ace 33 2.88705 shape
ace 34 3.08835 shape
ace 35 3.08979 shape
ace 36 1.86393 shape
ace 37 1.62672 shape
ace 38 2.74484 shape
ace 39 2.21357 shape
ace 40 2.88235 shape
ace 41 3.15926 shape
ace 42 2.80429 shape
ace 43 2.92682 shape
ace 44 1.94388 shape
