target template top1 top5 best
aa2ar 5iu8 1.45997 1.17896 0.898774
abl1 1opk 0.906278 0.512591 0.512591
ace 3bkk 1.57556 1.57556 1.40016
aces 6g1v 0.441911 0.425594 0.425594
ada 1ndy 0.462055 0.462055 0.462055
ada17 3b92 1.60146 1.60146 1.21966
adrb1 2ycz 0.831371 0.736483 0.587813
adrb2 3nya 2.53736 0.955579 0.7433
akt1 3mv5 1.83778 1.06309 0.908299
akt2 3e88 2.95215 2.46556 2.2576
aldr 2pdg 0.673716 0.59247 0.59247
ampc 1xgi 1.252 1.18964 0.561124
andr 1gs4 0.440135 0.440135 0.440135
aofb 2c75 1.60372 1.25695 0.622431
bace1 3l5c 5.44769 5.27797 3.32145
braf 3psd 1.36134 1.00733 1.00733
cah2 6rzx 1.23135 1.23135 1.23135
casp3 2c2m 4.10287 3.01432 2.17879
cdk2 1v1k 1.68849 1.68849 1.68849
comt 3s68 4.31446 3.48353 1.07297
cp2c9 5x23 6.6415 1.87839 0.700323
cp3a4 4i4g 2.15369 2.15369 2.15369
csf1r 2i0v 2.16596 1.73905 1.03023
def 3k6l 1.33263 1.33263 1.31671
dhi1 3pdj 7.98595 1.39429 1.39429
dpp4 1x70 2.86387 2.56755 1.7023
dyr 3nxy 1.51258 1.33591 0.999961
egfr 3bel 1.39539 1.0353 1.0353
esr1 1xpc 1.04115 0.766015 0.717748
esr2 1qkn 1.44101 1.44101 1.02403
fa10 2cji 1.35058 1.24138 1.24138
fa7 1w2k 1.72649 1.47939 0.937951
fabp4 6ljs 7.41355 3.84124 2.91861
fak1 6i8z 3.04052 2.4906 1.24935
fgfr1 1agw 7.19487 3.54892 3.54892
fkb1a 1j4i 6.14856 2.08457 1.84563
fnta 1x81 9.84442 9.3615 4.43283
fpps 4ga3 0.912961 0.857549 0.630662
gcr 1m2z 0.712499 0.577181 0.577181
glcm 6tjk 3.97768 3.07612 0.981541
gria2 3bki 1.28412 0.978502 0.978502
grik1 2wky 2.05838 1.76313 1.69534
hdac2 5iwg 7.30593 1.21619 1.08033
hdac8 5bwz 8.26162 3.72621 1.89055
hivint 3nf6 1.92111 1.92111 0.664725
hivpr 3bhe 4.73344 3.50722 2.81645
hivrt 3lam 1.65332 1.26493 0.808464
hmdh 3ccz 2.05472 1.40955 1.0284
hs90a 1uyh 0.79772 0.79772 0.79772
hxk4 3fr0 0.829855 0.694455 0.694455
igf1r 3o23 11.5996 10.8446 4.94084
inha 4u0j 2.0744 0.686993 0.686993
ital 3m6f 1.80306 1.45371 0.939537
jak2 3e64 1.67393 0.926803 0.926803
kif11 2fky 1.02209 1.02209 1.02209
kit 6mob 8.64063 6.86539 3.16146
kith 2uz3 0.604269 0.450932 0.450932
lck 2of4 0.407777 0.407777 0.407777
lkha4 3chr 2.3134 1.9975 0.820406
mapk2 3m42 7.41542 7.25306 1.13903
mcr 4uda 0.453762 0.453762 0.453762
met 5dg5 1.00219 1.00219 1.00219
mk01 2oji 1.72494 1.24123 0.897331
mk10 2zdu 0.755807 0.755807 0.398249
mk14 1a9u 11.0335 7.8944 3.81199
mmp13 1cxv 1.3772 1.3772 1.19601
mp2k1 6nyb 4.10571 3.98314 2.61922
nos1 1zvl 6.64106 2.00369 1.04516
nram 1vcj 1.7462 1.24785 1.24785
pa2ga 1kqu 7.0037 5.86688 3.81531
parp1 2rd6 2.02165 1.18836 0.735974
pde5a 1uho 1.49243 1.05859 1.05859
pgh1 1pgf 6.31245 5.49353 1.75318
pgh2 1cx2 0.575483 0.575483 0.454422
plk1 3kb7 3.16631 3.16631 2.16676
pnph 3phb 1.1165 1.1165 1.1165
ppara 4ci4 1.92041 1.53735 1.05433
ppard 2znq 2.10337 1.74216 1.02274
pparg 1i7i 1.96446 1.60889 0.821545
prgr 3hq5 1.09595 1.09595 1.09595
ptn1 2hb1 0.714412 0.372651 0.372651
pur2 1rc1 1.95006 1.30182 1.24681
pygm 4yua 4.17375 4.17375 2.90809
pyrd 2b0m 0.767707 0.590851 0.531403
reni 3g72 2.10482 0.978947 0.978947
rock1 4yvc 2.04936 1.60656 1.34362
rxra 4m8e 1.70545 1.68119 1.41261
sahh 5axb 0.632844 0.632844 0.632844
src 3geq 1.47193 1.47193 1.47193
tgfr1 6b8y 0.478385 0.478385 0.478385
thb 1nq0 1.81537 1.67297 0.803981
thrb 1vzq 0.741221 0.647736 0.589348
try1 1f0u 10.4035 10.1116 7.24485
tryb1 2zeb 1.13184 0.838543 0.603092
tysy 1aiq 2.41517 2.41517 2.18337
urok 4fu7 1.0378 1.0378 0.886663
vgfr2 2oh4 9.88241 9.88241 1.13717
wee1 2in6 1.96805 1.28421 1.09548
xiap 1tfq 3.94992 3.90438 3.24872
